,ticker_symbol,day_date,close_value
701,AAPL,2017-08-15,161.6
702,AAPL,2017-08-14,159.85
703,AAPL,2017-08-11,157.48
704,AAPL,2017-08-10,155.32
705,AAPL,2017-08-09,161.06
706,AAPL,2017-08-08,160.08
707,AAPL,2017-08-07,158.81
708,AAPL,2017-08-04,156.39
709,AAPL,2017-08-03,155.57
710,AAPL,2017-08-02,157.14
711,AAPL,2017-08-01,150.05
712,AAPL,2017-07-31,148.73
713,AAPL,2017-07-28,149.5
714,AAPL,2017-07-27,150.56
715,AAPL,2017-07-26,153.46
716,AAPL,2017-07-25,152.74
717,AAPL,2017-07-24,152.09
718,AAPL,2017-07-21,150.27
719,AAPL,2017-07-20,150.34
720,AAPL,2017-07-19,151.02
721,AAPL,2017-07-18,150.08
722,AAPL,2017-07-17,149.56
723,AAPL,2017-07-14,149.04
724,AAPL,2017-07-13,147.77
725,AAPL,2017-07-12,145.74
726,AAPL,2017-07-11,145.53
727,AAPL,2017-07-10,145.06
728,AAPL,2017-07-07,144.18
729,AAPL,2017-07-06,142.73
730,AAPL,2017-07-05,144.09
731,AAPL,2017-07-03,143.5
732,AAPL,2017-06-30,144.02
733,AAPL,2017-06-29,143.68
734,AAPL,2017-06-28,145.83
735,AAPL,2017-06-27,143.73
736,AAPL,2017-06-26,145.82
737,AAPL,2017-06-23,146.28
738,AAPL,2017-06-22,145.63
739,AAPL,2017-06-21,145.87
740,AAPL,2017-06-20,145.01
741,AAPL,2017-06-19,146.34
742,AAPL,2017-06-16,142.27
743,AAPL,2017-06-15,144.29
744,AAPL,2017-06-14,145.16
745,AAPL,2017-06-13,146.59
746,AAPL,2017-06-12,145.42
747,AAPL,2017-06-09,148.98
748,AAPL,2017-06-08,154.99
749,AAPL,2017-06-07,155.37
750,AAPL,2017-06-06,154.45
751,AAPL,2017-06-05,153.93
752,AAPL,2017-06-02,155.45
753,AAPL,2017-06-01,153.18
754,AAPL,2017-05-31,152.76
755,AAPL,2017-05-30,153.67
756,AAPL,2017-05-26,153.61
757,AAPL,2017-05-25,153.87
758,AAPL,2017-05-24,153.34
759,AAPL,2017-05-23,153.8
760,AAPL,2017-05-22,153.99
761,AAPL,2017-05-19,153.06
762,AAPL,2017-05-18,152.54
763,AAPL,2017-05-17,150.25
764,AAPL,2017-05-16,155.47
765,AAPL,2017-05-15,155.7
766,AAPL,2017-05-12,156.1
767,AAPL,2017-05-11,153.95
768,AAPL,2017-05-10,153.26
769,AAPL,2017-05-09,153.99
770,AAPL,2017-05-08,153.01
771,AAPL,2017-05-05,148.96
772,AAPL,2017-05-04,146.53
773,AAPL,2017-05-03,147.06
774,AAPL,2017-05-02,147.51
775,AAPL,2017-05-01,146.58
776,AAPL,2017-04-28,143.65
777,AAPL,2017-04-27,143.79
778,AAPL,2017-04-26,143.68
779,AAPL,2017-04-25,144.53
780,AAPL,2017-04-24,143.64
781,AAPL,2017-04-21,142.27
782,AAPL,2017-04-20,142.44
783,AAPL,2017-04-19,140.68
784,AAPL,2017-04-18,141.2
785,AAPL,2017-04-17,141.83
786,AAPL,2017-04-13,141.05
787,AAPL,2017-04-12,141.8
788,AAPL,2017-04-11,141.63
789,AAPL,2017-04-10,143.17
790,AAPL,2017-04-07,143.34
791,AAPL,2017-04-06,143.66
792,AAPL,2017-04-05,144.02
793,AAPL,2017-04-04,144.77
794,AAPL,2017-04-03,143.7
795,AAPL,2017-03-31,143.66
796,AAPL,2017-03-30,143.93
797,AAPL,2017-03-29,144.12
798,AAPL,2017-03-28,143.8
799,AAPL,2017-03-27,140.88
800,AAPL,2017-03-24,140.64
801,AAPL,2017-03-23,140.92
802,AAPL,2017-03-22,141.42
803,AAPL,2017-03-21,139.84
804,AAPL,2017-03-20,141.46
805,AAPL,2017-03-17,139.99
806,AAPL,2017-03-16,140.69
807,AAPL,2017-03-15,140.46
808,AAPL,2017-03-14,138.99
809,AAPL,2017-03-13,139.2
810,AAPL,2017-03-10,139.14
811,AAPL,2017-03-09,138.68
812,AAPL,2017-03-08,139.0
813,AAPL,2017-03-07,139.52
814,AAPL,2017-03-06,139.34
815,AAPL,2017-03-03,139.78
816,AAPL,2017-03-02,138.96
817,AAPL,2017-03-01,139.79
818,AAPL,2017-02-28,136.99
819,AAPL,2017-02-27,136.93
820,AAPL,2017-02-24,136.66
821,AAPL,2017-02-23,136.53
822,AAPL,2017-02-22,137.11
823,AAPL,2017-02-21,136.7
824,AAPL,2017-02-17,135.72
825,AAPL,2017-02-16,135.345
826,AAPL,2017-02-15,135.51
827,AAPL,2017-02-14,135.02
828,AAPL,2017-02-13,133.29
829,AAPL,2017-02-10,132.12
830,AAPL,2017-02-09,132.42
831,AAPL,2017-02-08,132.04
832,AAPL,2017-02-07,131.53
833,AAPL,2017-02-06,130.29
834,AAPL,2017-02-03,129.08
835,AAPL,2017-02-02,128.53
836,AAPL,2017-02-01,128.75
837,AAPL,2017-01-31,121.35
838,AAPL,2017-01-30,121.63
839,AAPL,2017-01-27,121.95
840,AAPL,2017-01-26,121.94
841,AAPL,2017-01-25,121.88
842,AAPL,2017-01-24,119.97
843,AAPL,2017-01-23,120.08
844,AAPL,2017-01-20,120.0
845,AAPL,2017-01-19,119.78
846,AAPL,2017-01-18,119.99
847,AAPL,2017-01-17,120.0
848,AAPL,2017-01-13,119.04
849,AAPL,2017-01-12,119.25
850,AAPL,2017-01-11,119.75
851,AAPL,2017-01-10,119.11
852,AAPL,2017-01-09,118.99
853,AAPL,2017-01-06,117.91
854,AAPL,2017-01-05,116.61
855,AAPL,2017-01-04,116.02
856,AAPL,2017-01-03,116.15
857,AAPL,2016-12-30,115.82
858,AAPL,2016-12-29,116.73
859,AAPL,2016-12-28,116.76
860,AAPL,2016-12-27,117.26
861,AAPL,2016-12-23,116.52
862,AAPL,2016-12-22,116.29
863,AAPL,2016-12-21,117.06
864,AAPL,2016-12-20,116.95
865,AAPL,2016-12-19,116.64
866,AAPL,2016-12-16,115.97
867,AAPL,2016-12-15,115.82
